Python编程教师 (职位编号：未来科学教学部),5-8千/月,台州-临海市  |  无需经验  |  大专  |  招2人  |  06-10发布,"
        职位内容：1、按照公司制定的教学计划，高质量完成加盟校新教师的教学培训。2、负责Python编程的相关课程研发、优化，课件规划、设计、开发、测试等工作。3、根据公司战略发展规划，与专家团队做好合作对接工作，参与Python新课程的研发、完善工作。4、积极配合其他部门完成相关工作。职位要求：1、热爱少儿编程行业，大专及以上学历。2、具备独立工作能力和学习能力。3、计算机相关专业、具备团队协作精神。4、有教育培训行业经验者优先。
                
                                        职能类别：讲师/助教小学教师
                                        关键字：python编程教师教学
                    
        微信分享
        
        
    "
后端开发工程师（Python方向）,1-2万/月,北京-大兴区  |  5-7年经验  |  本科  |  招2人  |  06-10发布,"
        【岗位职责】1、核心组件代码编写2、负责服务器端后台功能设计，参与技术方案讨论和技术调研；3、根据工作安排高效、高质地完成代码编写，确保符合代码规范；4、单元测试，日常的bug修复，性能调优等工作；5、参与产品评审，能提出可行的技术方案；6、与产品及测试团队或其他需要支持部门保持良好的沟通；7、相关文档的编写和维护。【任职要求】1、全日制本科及以上学历，软件工程类、电子信息类、计算机科学类等相关专业背景；2、本科5年、研究生3年以上运维研发、架构经验；3、计算机基础扎实，了解常见网络协议(TCP/IP，HTTP等)，扎实的编程能力，一定的算法和数据结构功底，较好的合作开发能力；4、有云计算、运维系统、分布式系统、Web后端等1个或多个系统的研发经验；5、精通基于Python Django的应用开发，有过支撑大量数据开发经验，并有3年及以上实际使用经验（必需）；7、精通Django生态组件Django-Rest-Framework使用（必需）；8、熟悉Linux常用命令，掌握在Linux下进行开发部署测试；9、熟悉MySQL、Redis等数据库，有构建高可用高性能数据库经验者优先；10、熟悉高性能、高并发设计方案，例如：全文检索（Solr/ELK）、消息队列等；熟悉高可用系统设计方案，如服务升降级、限流、主备切换等；11、责任心强，具备快速学习能力和良好沟通能力，能在较大压力下工作；12、担任过团队研发技术负责人，有过带队经验和优先。
                
                                        职能类别：Python开发工程师
                                        关键字：Python
                    
        微信分享
        
        
    "
Python开发工程师,1.5-2万/月,上海-浦东新区  |  3-4年经验  |  招2人  |  06-10发布,"
        - 熟悉python，了解其优缺点，有高并发web项目的开发经验- 熟悉至少一种python web开发框架（如django/flask/trnado等）- 熟悉 Linux 以及服务器端常用软件的- 熟悉 MongoDB/MySQL/Redis 等数据库- 对 Web 后端技术架构有基本的理解工作经验：1、计算机或相关专业本科以上学历，2年以上工作经验。2、有严谨的工作态度，有责任心和不断学习的精神，能够在一定的压力下工作。优先录取背景：- Full Stack 工程师优先- 熟悉其它编程语言（比如golang/C/C++/Java）并且有实际项目开发经验- 有自己的开源项目
                
                                        职能类别：软件工程师
                                        关键字：Python
                    
        微信分享
        
        
    "
python算法开发,1-1.5万/月,上海-浦东新区  |  2年经验  |  本科  |  招1人  |  06-10发布,"
        1、根据项目需求，开发和维护python算法框架；2、进行金融工程指定算法实现；3、python相关系统的测试、安装部署、性能调优、技术支持等工作。任职要求：1、全日制大学本科及以上，数学、物理及计算机或相关专业；2、具备2年以上python开发经验，有实际项目开发；3、熟悉Windows及Linux下python的安装、部署及调试；4、具备良好的沟通协调能力和团队合作意识，工作踏实，态度积极，能够承受工作压力；5、熟悉金融行业基本知识及有金融工程算法开发实现经验者优先。
                
                                        职能类别：软件工程师
                                        关键字：python后端开发Linux测试技术支持
                    
        微信分享
        
        
    "
Python开发工程师,0.9-1.4万/月,武汉-洪山区  |  3-4年经验  |  大专  |  招1人  |  06-10发布,"
        职责描述：1. 配合架构师或研发经理完成后端软件架构设计，实现产品的后端软件开发工作；2. 根据客户需求定义业务化功能开发、负责主要功能的代码实现；3. 负责软件代码测试、业务化运行测试，对代码进行不断优化、升级，确保系统稳定运行，满足项目及客户需求；4. 完成相关的软件技术文档、客户文档；5. 解决项目中的关键问题和技术难题；6. 能与其它软件工程师协调工作。任职要求：1、三年以上开发经验，两年以上的Python开发经验；2、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、socket等相关技术；3、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；4、熟练掌握 Tornado,Django，Flask等主流框架，深入理解框架实现原理及特性；熟练使用python的常用库5、熟悉Python的高级特性，深入理解各种设计模式和应用场景，熟悉Async异步编程。6、有大规模分布式系统的开发和高可用相关的实践经验，具备设计复杂系统的能力；7、熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力；8、熟练掌握一种以上非关系型数据库，如Redis, mongoDB ，RabbitMq，理解其使用场景及限制；9、熟悉分布式系统，熟练掌握一种以上服务框架和消息中间件，了解其实现原理；10、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范；优先条件： 1. 区块链领域相关工作经验。 2. 有高并发、高可靠大型软件分布式软件设计、开发工作经验。 3. 了解网络安全及相关的工作经验。福利待遇：1.高于同行薪资，重视个人发展，1.执行国家假期、双休，弹性工作、不加班，扁平管理，工作自由2.办公环境舒适，团队融洽，氛围轻松3.项目奖金，年度奖金，六险一金4.节日福利、生日会、生育婚礼大红包
                
                                        职能类别：Python开发工程师
                                        关键字：python爬虫软件工程师
                    
        微信分享
        
        
    "
Python开发工程师,1-1.5万/月,上海-青浦区  |  3-4年经验  |  大专  |  招3人  |  06-10发布,"
        岗位要求：1. 熟练掌握python基础语法2. 熟练使用django restframework框架3. 熟练使用pythton redis mysql MongoDB操作4. 熟练使用celery异步框架5. 熟练使用linux操作系统  6. 有运维工作经验优先7. 熟练使用vue框架，有前端html、JS等相关经验8. 至少使用DRF 和VUE 有一个完整的项目经验三年工作经验以上优先
                
                                        职能类别：Python开发工程师
                                
        微信分享
        
        
    "
Python开发工程师,1.2-2.5万/月,上海-长宁区  |  2年经验  |  本科  |  招若干人  |  06-10发布,"
        职责描述：1.参与数据采集系统设计、开发及测试2.参与数据ETL流程设计、开发及测试3.参与数据产品的设计、开发及测试岗位要求：1.985、211高校本科以上学历。2.熟练使用python。3.熟练使用SQL。 4.有Hadoop/Spark/Flink/Kafka/ELK经营者优先5.有实际数据相关项目经验优先?6.有机器学习、自然语言处理方面研发经验优先
                
                                        职能类别：Python开发工程师
                                        关键字：python爬虫SQLELK
                    
        微信分享
        
        
    "
Python开发工程师 (职位编号：05),1.2-1.8万/月,深圳  |  3-4年经验  |  本科  |  招2人  |  06-10发布  |  计算机科学与技术,"
        1、负责开发、迭代与优化海量在线云数据等服务产品；2、参与公司其他大规模融合云数据管理产品研发； 3、配合相关业务部门开展相关技术支持工作； 要求：1、精通python，***熟悉php、html5、css3、js等， 2、热爱技术钻研，熟悉网络，精通linux等操作系统； 3、有意愿在创业型公司发展，有较强的成长愿望，能全力投入，创建属于自己的事业。    
                
                                        职能类别：软件工程师
                                        关键字：pythonlinux
                    
        微信分享
        
        
    "
Python高级开发工程师,1.5-2万/月,上海  |  招若干人  |  06-10发布,"
        1) 基于Odoo/Django框架的代码开发工作；2) 快速、准确理解功能设计文档，根据需求编写技术概要、开发文档等说明文档；3) 协助测试工程师进行模块测试并分析解决问题，负责相关软件模块的完善和性能调优工作；4）IT管理制度中规定的相关工作内容。任职要求：1) 有2年以上Odoo/Django开发经验，精通Python语言及编程，有良好的编程习惯及代码风格；有Rest API经验优先；2) 熟练使用代码管理软件，熟练使用git等源码管理软件/命令。3) 熟悉单元测试，有良好的单元测试习惯。4) 熟悉Odoo/Django框架，了解Odoo/Django使用的Python库，了解Odoo/Django ORM实现方式5) 熟悉PostgreSQL、MySQL、Oracle任何一种数据库，能熟练编写sql语句；6) 熟悉JavaScript、Linux操作系统、Shell脚本语言者优先；7) 对项目需求有充分的理解和分析能力，有较强的自学能力和技术攻关能力，有团队合作精神、责任心、能接受建议，具备良的表达和沟通能力，能承受工作压力；8）有物流、供应链系统、电商项目开发经验者优先。
                
                                        职能类别：高级软件工程师软件工程师
                                
        微信分享
        
        
    "
Python开发工程师,0.9-1.2万/月,上海-长宁区  |  3-4年经验  |  大专  |  招1人  |  06-10发布,"
        1. 负责机器人流程自动化RPA产品的Python脚本开发工作；2. 负责机器人流程自动化RPA产品的流程实施及配置工作；3. 负责Flask接口编写；3. 负责支持现场配置实施人员完成流程的设计及配置；4. 负责与客户沟通开发需求，完成RPA流程的开发、测试和交付；5. 完成上级领导交给的其他工作任务。任职资格：1.全日制大专以上学历，计算机相关专业；2. 三年编程开发经验， 熟练掌握Python语言；具有设计，性能优化经验，良好的编码规范 ；3. 对爬虫和数据分析都有一定的了解，熟悉Python 常用的库：Pandas，Numpy，Requests，Scrapy，Selenium，Re，Lxml，Flask 等，熟悉Python 调用WindowsAPI 模块；4. 了解前端html 知识，js/css；5. 熟练使用mysql，可以对数据库的读取/存储。
                
                                        职能类别：Python开发工程师
                                        关键字：python爬虫
                    
        微信分享
        
        
    "
Python开发工程师,1-1.5万/月,上海  |  2年经验  |  本科  |  招1人  |  06-10发布,"
        岗位职责：1、全日制本科及以上，计算机相关专业毕业，3年以上Python开发经验；2、精通Python语言，熟练掌握PythonWeb服务搭建部署流程；3、熟悉常见的Python服务框架，包括但不限于Django,Tornado,Flask等4、熟悉常见的中间件，包括但不限于RabbitMQ、Redis、Kafka、Nginx等5、熟悉常见的存储方案，包括但不限于MySQL、MongoDB、HBase、Ceph等6、熟悉常用的开发工具，如Git、SVN等7、有良好的代码风格和开发习惯，懂得单元测试原理其他要求：1、良好的沟通能力2、性格积极乐观，诚信，有较强的语言表达能力，具备强烈的进取心、求知欲和团队合作精神。
                
                                        职能类别：Python开发工程师
                                
        微信分享
        
        
    "
